Usia, Perkembangan Motorik, Perkembangan Bahasa, Perkembangan Sosial & Emosi

0-3 bulan,- Memperhatikan dan mengamati wajah- Mengenali ibu atau orang yang dikenal,- Menangis untuk mengekspresikan ketidaknyamanan,- Tenang saat digendong dan didengarkan
4-6 bulan,- Mengangkat kepala saat tengkurap- Berguling- Duduk dengan bantuan,- Mengoceh dengan suara-suara sederhana,- Tertawa dan tersenyum sebagai respon
7-9 bulan, Duduk tanpa bantuan- Merangkak- Berdiri dengan berpegangan,- Merespon pada namanya- Mengucap 1-2 kata sederhana,"- Tertarik pada permainan ""cukup-hilang"""
10-12 bulan,- Berdiri tanpa pegangan- Berjalan dengan berpegangan,- Mengucap 1-2 kata sederhana,"- Melambaikan tangan untuk ""dadah"""
13-18 bulan,- Berjalan tanpa berpegangan- Naik tangga dengan berpegangan,- Mengucap 5-20 kata sederhana,- Meniru aktivitas orang dewasa
19-24 bulan,- Berlari- Menendang dan melempar bola,- Merangkai 2 kata menjadi kalimat pendek,- Mulai bermain dengan teman

2-3 tahun,"- Berjalan, berlari, dan melompat- Naik-turun tangga",- Kalimat 2-3 kata- Mengenal warna,- Bermain dengan teman
3-4 tahun,- Berjinjit dan melompat- Menendang bola,- Bicara lancar dalam kalimat,- Mulai mengekspresikan perasaan
4-5 tahun,- Gerakan motorik halus berkembang- Naik sepeda roda tiga,- Mengenal huruf dan angka- Bercerita,- Bermain kooperatif
